ReadTime,Usage(kwh),Hourly Temperature
"24:00","14.049","75.0"
"23:00","5.143","75.0"
"22:00","7.316","77.0"
"21:00","5.504","81.0"
"20:00","3.705","81.0"
"19:00","6.032","83.0"
"18:00","4.646","87.0"
"17:00","4.897","87.0"
"16:00","4.671","85.0"
"15:00","3.973","91.0"
"14:00","3.051","90.0"
"13:00","1.670","90.0"
"12:00","1.997","88.0"
"11:00","0.472","86.0"
"10:00","1.733","82.0"
"09:00","1.905","78.0"
"08:00","3.450","73.0"
"07:00","2.997","72.0"
"06:00","1.501","71.0"
"05:00","1.259","71.0"
"04:00","0.820","71.0"
"03:00","3.916","72.0"
"02:00","12.480","73.0"
"01:00","13.600","74.0"
